"Player"|"Pos"|"Age"|"Tm"|"G"|"MP"|"PER"|"TS_perc"|"X3PAr"|"FTr"|"ORB_perc"|"DRB_perc"|"TRB_perc"|"AST_perc"|"STL_perc"|"BLK_perc"|"TOV_perc"|"USG_perc"|"OWS"|"DWS"|"WS"|"WS_48"|"OBPM"|"DBPM"|"BPM"|"VORP"
"Udonis Haslem"|"PF"|34|"MIA"|62|995|10.6|0.488|0.042|0.268|8.8|22.1|15.6|7.4|1.1|1.1|13.3|14.6|0.4|1|1.4|0.066|-3.3|-0.1|-3.4|-0.4
"Spencer Hawes"|"PF"|26|"LAC"|73|1274|9.8|0.478|0.424|0.164|2.7|19.7|11.4|10|1|3.4|12.1|17.9|-0.3|1.5|1.2|0.044|-2.9|1|-1.9|0
"Chuck Hayes"|"C"|31|"TOR"|29|255|10.4|0.492|0|0.239|8.1|14.9|11.5|11.3|2|1.3|13.6|10.4|0.3|0.2|0.5|0.091|-1.5|1.1|-0.4|0.1
"Gordon Hayward"|"SF"|24|"UTA"|76|2618|20.2|0.567|0.304|0.425|2.4|14|8.2|21.7|2.2|0.9|13.8|26.2|5.8|2.9|8.7|0.159|3.3|0.1|3.4|3.6
"Brendan Haywood"|"C"|35|"CLE"|22|119|9.1|0.49|0|0.433|5.9|21.9|14|2.5|0.9|6.6|21.9|17.3|-0.2|0.2|0|0.008|-7.9|1.3|-6.6|-0.1
"Gerald Henderson"|"SG"|27|"CHO"|80|2315|13.2|0.514|0.161|0.256|1.7|11.6|6.5|15.6|1.1|0.7|10.5|20.7|1.3|2.3|3.6|0.074|-1.2|-0.4|-1.5|0.3
"Xavier Henry"|"SF"|23|"LAL"|9|86|4.9|0.424|0|1.846|2.5|2.7|2.6|4.8|1.8|0|11.3|13.7|-0.1|0|-0.1|-0.03|-5.5|-2.4|-7.9|-0.1
"John Henson"|"C"|24|"MIL"|67|1228|18|0.578|0|0.396|11.7|17.4|14.5|7.8|1.2|9.3|17.6|18.1|1.3|2.4|3.6|0.142|-1.9|4.6|2.7|1.5
"Roy Hibbert"|"C"|28|"IND"|76|1926|15.4|0.501|0.003|0.287|9|21.9|15.5|7.4|0.5|5.1|11.8|21.3|1|3.2|4.2|0.105|-3.1|2.1|-1|0.5
"J.J. Hickson"|"C"|26|"DEN"|73|1411|14.3|0.504|0.004|0.438|11.1|24|17.3|6.5|1.3|1.9|14.9|19.7|0.5|1.4|1.8|0.062|-3.1|0.4|-2.7|-0.3
"Nene Hilario"|"PF"|32|"WAS"|67|1693|14.3|0.534|0.008|0.336|5.7|17|11.5|12|2|1|15.2|21.8|0.5|2.5|3|0.086|-1.9|1.3|-0.6|0.6
"George Hill"|"PG"|28|"IND"|43|1267|21.5|0.579|0.361|0.267|2.2|13.3|7.8|31.4|1.8|0.9|10.3|23.8|3.7|1.6|5.4|0.203|5.4|0.2|5.6|2.4
"Jordan Hill"|"C"|27|"LAL"|70|1874|16.2|0.494|0.014|0.216|9.9|23.4|16.4|9.5|0.9|2.3|11.1|22.7|1.1|1.1|2.2|0.055|-2|-0.6|-2.6|-0.3
